filename, GPS.Altitude, GPS.AltitudeRef, GPS.Latitude, GPS.LatitudeRef, GPS.Longitude, GPS.LongitudeRef
2014-10-12 01.43.07.jpg,2447.310344827586,0,19.402155,N,99.27369666666667,W
2014-10-12 16.27.32.jpg,,,,,,
2014-10-12 16.35.12.jpg,,,,,,
2014-10-12 16.41.23.jpg,,,,,,
2014-10-13 11.57.25.png,,,,,,
2014-10-13 12.35.37.jpg,2610.900900900901,0,19.38543833333333,N,99.29357833333333,W
2014-10-13 15.52.21.jpg,2569.988235294118,0,19.36,N,99.25833833333333,W
2014-10-13 15.52.42.jpg,2568.888888888889,0,19.35995333333333,N,99.25841333333334,W
2014-10-13 16.00.59.jpg,2569.248520710059,0,19.35948666666667,N,99.25873666666666,W
2014-10-13 16.01.02.jpg,2563.466666666667,0,19.35984666666667,N,99.2585,W
2014-10-13 18.57.17.jpg,2569.467065868263,0,19.35972833333333,N,99.25838333333333,W
2014-10-14 12.10.09.png,,,,,,
2014-10-14 12.10.13.png,,,,,,
2014-10-14 15.36.19.jpg,2324.285714285714,0,19.42748833333333,N,99.22525,W
2014-10-14 15.36.38.jpg,2324.551724137931,0,19.427555,N,99.22543333333333,W
2014-10-14 15.37.02.jpg,2317.622222222222,0,19.42748833333333,N,99.22527166666667,W
2014-10-14 15.40.44.jpg,2316.311111111111,0,19.42728666666667,N,99.22528,W
2014-10-14 15.40.47.jpg,2316.582608695652,0,19.42729166666667,N,99.22528833333334,W
2014-10-14 15.41.12.jpg,2317.365384615385,0,19.427445,N,99.22536333333333,W
2014-10-14 15.41.17.jpg,2317.355263157895,0,19.427445,N,99.22535833333333,W
2014-10-14 15.41.57.jpg,2317.567164179105,0,19.427445,N,99.22535833333333,W
2014-10-14 15.42.14.jpg,2317.061538461538,0,19.427445,N,99.22535833333333,W
2014-10-14 16.08.56.png,,,,,,
2014-10-14 16.26.47.png,,,,,,
2014-10-14 16.44.45.jpg,2325.175438596491,0,19.427605,N,99.22537166666666,W
2014-10-14 19.07.07.jpg,2610.758620689655,0,19.38493666666667,N,99.293755,W
2014-10-14 19.07.39.jpg,2608.261538461538,0,19.385325,N,99.29382166666667,W
2014-10-14 19.42.19.png,,,,,,
2014-10-14 20.04.42.png,,,,,,
2014-10-15 00.04.13.png,,,,,,
2014-10-15 00.04.21.png,,,,,,
2014-10-15 00.34.04.png,,,,,,
2014-10-15 00.34.17.png,,,,,,
2014-10-15 00.35.48.png,,,,,,
2014-10-15 00.35.52.png,,,,,,
